Wavelength,Transmission
1458,6.014E+01
1459,6.029E+01
1460,6.031E+01
1461,6.032E+01
1462,6.045E+01
1463,6.061E+01
1464,6.064E+01
1465,6.052E+01
1466,6.054E+01
1467,6.057E+01
1468,6.061E+01
1469,6.068E+01
1470,6.087E+01
1471,6.104E+01
1472,6.101E+01
1473,6.089E+01
1474,6.083E+01
1475,6.082E+01
1476,6.099E+01
1477,6.107E+01
1478,6.112E+01
1479,6.111E+01
1480,6.108E+01
1481,6.112E+01
1482,6.109E+01
1483,6.121E+01
1484,6.134E+01
1485,6.136E+01
1486,6.135E+01
1487,6.139E+01
1488,6.159E+01
1489,6.178E+01
1490,6.196E+01
1491,6.197E+01
1492,6.182E+01
1493,6.164E+01
1494,6.157E+01
1495,6.167E+01
1496,6.180E+01
1497,6.194E+01
1498,6.208E+01
1499,6.218E+01
1500,6.221E+01
1501,6.211E+01
1502,6.206E+01
1503,6.206E+01
1504,6.210E+01
1505,6.222E+01
1506,6.236E+01
1507,6.243E+01
1508,6.234E+01
1509,6.225E+01
1510,6.223E+01
1511,6.229E+01
1512,6.234E+01
1513,6.239E+01
1514,6.245E+01
1515,6.255E+01
1516,6.263E+01
1517,6.262E+01
1518,6.265E+01
1519,6.277E+01
1520,6.283E+01
1521,6.273E+01
1522,6.264E+01
1523,6.266E+01
1524,6.278E+01
1525,6.288E+01
1526,6.299E+01
1527,6.297E+01
1528,6.291E+01
1529,6.280E+01
1530,6.276E+01
1531,6.288E+01
1532,6.299E+01
1533,6.305E+01
1534,6.301E+01
1535,6.294E+01
1536,6.288E+01
1537,6.290E+01
1538,6.307E+01
1539,6.322E+01
1540,6.327E+01
1541,6.311E+01
1542,6.291E+01
1543,6.282E+01
1544,6.288E+01
1545,6.300E+01
1546,6.308E+01
1547,6.320E+01
1548,6.334E+01
1549,6.341E+01
1550,6.343E+01
1551,6.334E+01
1552,6.327E+01
1553,6.323E+01
1554,6.328E+01
1555,6.333E+01
1556,6.340E+01
1557,6.348E+01
1558,6.358E+01
1559,6.359E+01
1560,6.348E+01
1561,6.339E+01
1562,6.340E+01
1563,6.352E+01
1564,6.375E+01
1565,6.382E+01
1566,6.373E+01
1567,6.370E+01
1568,6.373E+01
1569,6.377E+01
1570,6.378E+01
1571,6.369E+01
1572,6.350E+01
1573,6.347E+01
1574,6.367E+01
1575,6.391E+01
1576,6.410E+01
1577,6.417E+01
1578,6.414E+01
1579,6.397E+01
1580,6.381E+01
1581,6.375E+01
1582,6.383E+01
1583,6.400E+01
1584,6.417E+01
1585,6.423E+01
1586,6.419E+01
1587,6.407E+01
1588,6.409E+01
1589,6.417E+01
1590,6.417E+01
1591,6.406E+01
1592,6.389E+01
1593,6.374E+01
1594,6.365E+01
1595,6.369E+01
1596,6.371E+01
1597,6.374E+01
1598,6.374E+01
1599,6.375E+01
1600,6.377E+01
1601,6.388E+01
1602,6.416E+01
1603,6.442E+01
1604,6.450E+01
1605,6.445E+01
1606,6.440E+01
1607,6.429E+01
1608,6.417E+01
1609,6.413E+01
1610,6.418E+01
1611,6.424E+01
1612,6.428E+01
1613,6.435E+01
1614,6.444E+01
1615,6.453E+01
1616,6.461E+01
1617,6.470E+01
1618,6.478E+01
1619,6.483E+01
1620,6.480E+01
1621,6.478E+01
1622,6.473E+01
1623,6.466E+01
1624,6.458E+01
1625,6.443E+01
1626,6.430E+01
1627,6.424E+01
1628,6.427E+01
1629,6.429E+01
1630,6.433E+01
1631,6.440E+01
1632,6.447E+01
1633,6.444E+01
1634,6.439E+01
1635,6.444E+01
1636,6.452E+01
1637,6.458E+01
1638,6.464E+01
1639,6.462E+01
1640,6.453E+01
1641,6.450E+01
1642,6.453E+01
1643,6.455E+01
1644,6.456E+01
1645,6.461E+01
1646,6.464E+01
1647,6.459E+01
1648,6.455E+01
1649,6.458E+01
1650,6.461E+01
1651,6.463E+01
1652,6.466E+01
1653,6.468E+01
1654,6.470E+01
1655,6.472E+01
1656,6.473E+01
1657,6.468E+01
1658,6.463E+01
1659,6.459E+01
1660,6.454E+01
1661,6.453E+01
1662,6.462E+01
1663,6.478E+01
1664,6.487E+01
1665,6.487E+01
1666,6.486E+01
1667,6.486E+01
1668,6.488E+01
1669,6.498E+01
1670,6.519E+01
1671,6.531E+01
1672,6.529E+01
1673,6.525E+01
